Search_method Problem Max_evals Run Score
jc knapPI_11_20_1000_4 10000 19 1440
jc knapPI_11_20_1000_4 10000 20 1440
jc knapPI_11_20_1000_4 10000 21 1440
jc knapPI_11_20_1000_4 10000 22 1320
jc knapPI_11_20_1000_4 10000 23 1400
jc knapPI_11_20_1000_4 10000 24 1440
jc knapPI_11_20_1000_4 10000 25 1440
jc knapPI_11_20_1000_4 10000 26 1320
jc knapPI_11_20_1000_4 10000 27 1400
jc knapPI_11_20_1000_4 10000 28 1400
jc knapPI_11_20_1000_4 10000 29 1400
jc knapPI_13_20_1000_4 10000 0 0
jc knapPI_13_20_1000_4 10000 1 0
jc knapPI_13_20_1000_4 10000 2 0
jc knapPI_13_20_1000_4 10000 3 889
jc knapPI_13_20_1000_4 10000 4 0
jc knapPI_13_20_1000_4 10000 5 907
jc knapPI_13_20_1000_4 10000 6 907
jc knapPI_13_20_1000_4 10000 7 0
jc knapPI_13_20_1000_4 10000 8 0
jc knapPI_13_20_1000_4 10000 9 889
jc knapPI_13_20_1000_4 10000 10 907
jc knapPI_13_20_1000_4 10000 11 907
jc knapPI_13_20_1000_4 10000 12 0
jc knapPI_13_20_1000_4 10000 13 0
jc knapPI_13_20_1000_4 10000 14 907
jc knapPI_13_20_1000_4 10000 15 889
jc knapPI_13_20_1000_4 10000 16 890
jc knapPI_13_20_1000_4 10000 17 907
jc knapPI_13_20_1000_4 10000 18 907
